Title,Next Action,"Status (optional later: Sold Date, Sold Via, Collector Notes)",Category,Orientation,Dimensions,Original Available,Price (Original),Date Created,Tags,Mood,Colors,Master File Location,Primary Use,AI Ready (enough source info exists for AI to draft from),Description,Story,Subject,Location,Time of Day,Light Description,AI Draft Complete (AI has already generated the draft metadata/copy),Human Approved,Products Linked,Content Linked,Workflow Status,artwork_id,Image Status,Slug,Alt Text,Medium,Square Checkout URL,Display Order,Series,Opportunities Linked,Events Linked,POC Candidate,POC Role,Needs Review,Events Linked 1,Opportunities,Source,Primary Lifestyle Image,Primary Detail Image
Citrus Radiance,,available,,portrait,"16"" × 20""",No,$199.00,,,,,,,No,,,,,,,No,No,Citrus Radiance- Oil Painting Canvas Print- Citrus Light (https://app.notion.com/p/Citrus-Radiance-Oil-Painting-Canvas-Print-Citrus-Light-36f70b21b17e816fb7a7c2a93e27dfbe?pvs=21),,Etsy Import — Pending Review,AOA-ART-0019,,citrus-radiance,,,,,,,,No,,Yes,,,,,
Cobalt Bloom,,available,,portrait,"9"" × 12""",No,$99.00,,,,,,,No,,,,,,,No,No,Cobalt Bloom – Floral Still Life Canvas Print by Kaleigh Anderson (https://app.notion.com/p/Cobalt-Bloom-Floral-Still-Life-Canvas-Print-by-Kaleigh-Anderson-36f70b21b17e8193883fecdf7fe82fc8?pvs=21),,Etsy Import — Pending Review,AOA-ART-0003,,cobalt-bloom,,,,,,,,No,,Yes,,,,,
Cupola Light,,available,,portrait,"9"" × 12""",No,$99.00,,,,,,,No,,,,,,,No,No,Cupola Light – Coastal Cupola Architecture Canvas Print by Kaleigh Anderson (https://app.notion.com/p/Cupola-Light-Coastal-Cupola-Architecture-Canvas-Print-by-Kaleigh-Anderson-36f70b21b17e81fdb65ec7e49b20394e?pvs=21),,Etsy Import — Pending Review,AOA-ART-0057,,cupola-light,,Oil,,,,,,No,,Yes,,,canvas,,
Echoes from the Irish Castle,,available,,landscape,"24"" × 18""",No,$399.00,,,,,,,No,,,,,,,No,No,Echoes from the Irish Castle – Ireland Castle Landscape Canvas Print by Kaleigh Anderson (https://app.notion.com/p/Echoes-from-the-Irish-Castle-Ireland-Castle-Landscape-Canvas-Print-by-Kaleigh-Anderson-37070b21b17e815f8e3af8cfb147f208?pvs=21),,Etsy Import — Pending Review,AOA-ART-0054,,echoes-from-the-irish-castle,,Oil,,,,,,No,,Yes,,,canvas,,
Evening Anchor,,available,,portrait,"16"" × 20""",No,$199.00,,,,,,,No,,,,,,,No,No,,,Etsy Import — Pending Review,AOA-ART-0018,,evening-anchor,,,,,,,,No,,Yes,,,,,
Faded Morning,,available,,portrait,"9"" × 12""",No,$99.00,,,,,,,No,,,,,,,No,No,,,Etsy Import — Pending Review,AOA-ART-0006,,faded-morning,,,,,,,,No,,Yes,,,,,
First Light on Providence,,available,,landscape,"20"" × 16""",No,$499.00,,,,,,,No,,,,,,,No,No,Providence Rhode Island Cityscape Canvas Print – First Light on Providence by Kaleigh Anderson (https://app.notion.com/p/Providence-Rhode-Island-Cityscape-Canvas-Print-First-Light-on-Providence-by-Kaleigh-Anderson-37070b21b17e81d3b729d7c28d8491b1?pvs=21),,Etsy Import — Pending Review,AOA-ART-0053,,first-light-on-providence,,Oil,,,,,,No,,Yes,,,canvas,,
Five at Dawn,,available,,landscape,"20"" × 10""",No,$899.00,,,,,,,No,,,,,,,No,No,Sunrise Oil Painting Print 20x10 Canvas | Five at Dawn (https://app.notion.com/p/Sunrise-Oil-Painting-Print-20x10-Canvas-Five-at-Dawn-36f70b21b17e81389fe0e4d16bbc1cc1?pvs=21),,Etsy Import — Pending Review,AOA-ART-0052,,five-at-dawn,,Oil,,,,,,No,,Yes,,,canvas,,
Forsythia Light,,available,,portrait,"20"" × 26""",No,$199.00,,,,,,,No,,,,,,,No,No,Forsythia Flower Still Life Canvas Print – Forsythia Light by Kaleigh Anderson (https://app.notion.com/p/Forsythia-Flower-Still-Life-Canvas-Print-Forsythia-Light-by-Kaleigh-Anderson-36f70b21b17e819bb628ecd3eb00cfe9?pvs=21),,Etsy Import — Pending Review,AOA-ART-0058,,forsythia-light,,Oil,,,,,,No,,Yes,,,canvas,,
Gilded Horizons No. 8 When the Sky Blushes,,available,,landscape,"14"" × 11""",No,$299.00,,,,,,,No,,,,,,,No,No,,,Etsy Import — Pending Review,AOA-ART-0004,,gilded-horizons-no-8-when-the-sky-blushes,,,,,,,,No,,Yes,,,,,
Gilded Horizons No. 10,,available,,square,"20"" × 20""",No,$599.00,,,,,,,No,,,,,,,No,No,Coastal Sunset Canvas Print – Gilded Horizons No. 10 Marsh Landscape Wall Art (https://app.notion.com/p/Coastal-Sunset-Canvas-Print-Gilded-Horizons-No-10-Marsh-Landscape-Wall-Art-36f70b21b17e81dbabdcca884a359d3d?pvs=21),,Etsy Import — Pending Review,AOA-ART-0030,,gilded-horizons-no-10,,,,,,,,No,,Yes,,,,,
Gilded Horizons No. 12 Pastel Drift,,available,,landscape,"20"" × 16""",No,$399.00,,,,,,,No,,,,,,,No,No,,,Etsy Import — Pending Review,AOA-ART-0029,,gilded-horizons-no-12-pastel-drift,,,,,,,,No,,Yes,,,,,
Gilded No. 14 Crimson & Tide,,available,,square,"20"" × 20""",No,$399.00,,,,,,,No,,,,,,,No,No,,,Etsy Import — Pending Review,AOA-ART-0009,,gilded-no-14-crimson-tide,,,,,,,,No,,Yes,,,,,
Golden Note,,available,,portrait,"20"" × 26""",No,$299.00,,,,,,,No,,,,,,,No,No,Golden Note — Yellow Bird Oil Painting Canvas Print Coastal Nature Wall Art (https://app.notion.com/p/Golden-Note-Yellow-Bird-Oil-Painting-Canvas-Print-Coastal-Nature-Wall-Art-37070b21b17e81769a58c45e8b159058?pvs=21),,Etsy Import — Pending Review,AOA-ART-0059,,golden-note,,Oil,,,,,,No,,Yes,,,canvas,,
Grace in the Garden,,available,,portrait,"12"" × 24""",No,$299.00,,,,,,,No,,,,,,,No,No,,,Etsy Import — Pending Review,AOA-ART-0050,,grace-in-the-garden,,Oil,,,,,,No,,Yes,,,canvas,,
Hands of the Harbor,,available,,portrait,"8"" × 10""",No,$299.00,,,,,,,No,,,,,,,No,No,Lobster Fisherman Harbor Canvas Print – Hands of the Harbor by Kaleigh Anderson (https://app.notion.com/p/Lobster-Fisherman-Harbor-Canvas-Print-Hands-of-the-Harbor-by-Kaleigh-Anderson-36f70b21b17e819e808eff740f360aa1?pvs=21),,Etsy Import — Pending Review,AOA-ART-0017,,hands-of-the-harbor,,,,,,,,No,,Yes,,,,,
Harbor Line,,available,,portrait,"16"" × 20""",No,$499.00,,,,,,,No,,,,,,,No,No,Harbor Line- Oil Painting Canvas Print-Cape Breeze (https://app.notion.com/p/Harbor-Line-Oil-Painting-Canvas-Print-Cape-Breeze-36f70b21b17e81dd8036e4afd7315875?pvs=21),,Etsy Import — Pending Review,AOA-ART-0015,,harbor-line,,,,,,,,No,,Yes,,,,,
Island Reverie,,available,,landscape,"20"" × 16""",No,$199.00,,,,,,,No,,,,,,,No,No,Island Reverie — Coastal Island Seascape Oil Painting Print (https://app.notion.com/p/Island-Reverie-Coastal-Island-Seascape-Oil-Painting-Print-37070b21b17e8126aee3c1bb96760cd2?pvs=21),,Etsy Import — Pending Review,AOA-ART-0049,,island-reverie,,Oil,,,,,,No,,Yes,,,canvas,,
Light Through the Clouds,,coming-soon,Landscape / Seascape,landscape,"14"" × 11""",Yes,$499.00,01/01/2026,"Maine art, atmospheric painting, canvas seascape, cloud painting, coastal Maine, coastal seascape, dusk landscape, evening light, original oil painting, seascape wall decor, sunbeams art, sunset landscape, twilight seascape","Evening stillness, Quiet contemplation, The pause between day and dusk","Violet, charcoal grey, deep mauve, pale blue-grey, pale cream/yellow, soft rose/blush",https://drive.google.com/file/d/1fZ5EpIB70eyXJEhdGP7s_Tp37FPWTiqB/view?usp=drive_link,Contemplative wall art,Yes,"Light Through the Clouds captures the quiet moment when the sky opens — light pouring through a break in the clouds over a still Maine bay at dusk. Original oil painting on canvas, signed on the back. Painted in my Scarborough, Maine studio. Ships flat and carefully wrapped from Maine within 5–7 business days. Local pickup available in the Scarborough / Portland area. Each original is one of a kind — once it is gone, it is gone. Commissions in a similar style are available; message me to start one.","The quiet moment when the sky opens — light pouring through a break in the clouds over the bay, painted from a still evening on the Maine coast.","Evening seascape with distant forested islands, calm water, rocky foreground and light breakthrough through clouds",Maine coast — Scarborough area,Evening,Pale gold light breaking through violet atmosphere — cool and gentle. Light moves through violet space as illuminated air. Not dramatic; the last working light of the day filtered through atmosphere and cloud.,Yes,Yes,"Light Through the Clouds — Framed Canvas Print Large Black (https://app.notion.com/p/Light-Through-the-Clouds-Framed-Canvas-Print-Large-Black-36770b21b17e8151a282f6b135d4effa?pvs=21), Light Through the Clouds — Framed Canvas Print Large Brown (https://app.notion.com/p/Light-Through-the-Clouds-Framed-Canvas-Print-Large-Brown-36770b21b17e81598df0de8c745dfe04?pvs=21), Light Through the Clouds — Framed Canvas Print Large White (https://app.notion.com/p/Light-Through-the-Clouds-Framed-Canvas-Print-Large-White-36770b21b17e81fca45ff27e3f8606f0?pvs=21), Light Through the Clouds — Framed Canvas Print Medium Black (https://app.notion.com/p/Light-Through-the-Clouds-Framed-Canvas-Print-Medium-Black-36770b21b17e81fb9d96fa8fe7555549?pvs=21), Light Through the Clouds — Framed Canvas Print Medium Brown (https://app.notion.com/p/Light-Through-the-Clouds-Framed-Canvas-Print-Medium-Brown-36770b21b17e81d8af3bff85f08ae36d?pvs=21), Light Through the Clouds — Framed Canvas Print Medium White (https://app.notion.com/p/Light-Through-the-Clouds-Framed-Canvas-Print-Medium-White-36770b21b17e8188b312d292e609977a?pvs=21), Light Through the Clouds — Framed Canvas Print Small Black (https://app.notion.com/p/Light-Through-the-Clouds-Framed-Canvas-Print-Small-Black-36770b21b17e816fb0b1f5bb5e349ae5?pvs=21), Light Through the Clouds — Framed Canvas Print Small Brown (https://app.notion.com/p/Light-Through-the-Clouds-Framed-Canvas-Print-Small-Brown-36770b21b17e8132a9c6d40df667f6e8?pvs=21), Light Through the Clouds — Framed Canvas Print Small White (https://app.notion.com/p/Light-Through-the-Clouds-Framed-Canvas-Print-Small-White-36770b21b17e818d9158ec35cfae8e9f?pvs=21), Light Through the Clouds (https://app.notion.com/p/Light-Through-the-Clouds-36f70b21b17e81a6bd7cfe46a27711b7?pvs=21)",,Ready for Products,AOA-ART-0002,Master Image Approved,light-through-the-clouds,Original oil painting of an evening Maine seascape. Pale gold light breaks through violet clouds over a still bay with a rocky foreground and distant forested islands.,Oil,,,,,,No,,Yes,,,canvas,,
Midnight Harbor,,available,,portrait,"9"" × 12""",No,$199.00,,,,,,,No,,,,,,,No,No,Midnight Harbor – Moonlit Harbor Landscape Canvas Print by Kaleigh Anderson (https://app.notion.com/p/Midnight-Harbor-Moonlit-Harbor-Landscape-Canvas-Print-by-Kaleigh-Anderson-36f70b21b17e81bda234c2c945d81998?pvs=21),,Etsy Import — Pending Review,AOA-ART-0016,,midnight-harbor,,,,,,,,No,,Yes,,,,,
Morning Prayer,,available,,landscape,"20"" × 16""",No,$299.00,,,,,,,No,,,,,,,No,No,Chapel Landscape Canvas Print – Morning Prayer by Kaleigh Anderson (https://app.notion.com/p/Chapel-Landscape-Canvas-Print-Morning-Prayer-by-Kaleigh-Anderson-37070b21b17e81399d53cd0f08846e69?pvs=21),,Etsy Import — Pending Review,AOA-ART-0048,,morning-prayer,,Oil,,,,,,No,,Yes,,,canvas,,
Open Windows & Lupins,,available,,square,"8"" × 8""",No,$99.00,,,,,,,No,,,,,,,No,No,,,Etsy Import — Pending Review,AOA-ART-0028,,open-windows-lupins,,,,,,,,No,,Yes,,,,,
Quiet Garden Light,,available,,portrait,"12"" × 16""",No,$299.00,,,,,,,No,,,,,,,No,No,Quiet Garden Light – Cottage Garden Landscape Canvas Print by Kaleigh Anderson (https://app.notion.com/p/Quiet-Garden-Light-Cottage-Garden-Landscape-Canvas-Print-by-Kaleigh-Anderson-36f70b21b17e81cd9c79e9c22684d505?pvs=21),,Etsy Import — Pending Review,AOA-ART-0056,,quiet-garden-light,,Oil,,,,,,No,,Yes,,,canvas,,
Red Roofs of Monhegan,,available,,portrait,"18"" × 24""",No,$399.00,,,,,,,No,,,,,,,No,No,Monhegan Island Cottage Landscape Canvas Print – Red Roofs of Monhegan by Kaleigh Anderson (https://app.notion.com/p/Monhegan-Island-Cottage-Landscape-Canvas-Print-Red-Roofs-of-Monhegan-by-Kaleigh-Anderson-36f70b21b17e81b68f36fe1ca2de4ac8?pvs=21),,Etsy Import — Pending Review,AOA-ART-0014,,red-roofs-of-monhegan,,,,,,,,No,,Yes,,,,,
Resting Tide,,available,,portrait,"9"" × 12""",No,$199.00,,,,,,,No,,,,,,,No,No,Resting Tide – Coastal Boat Seascape Canvas Print by Kaleigh Anderson (https://app.notion.com/p/Resting-Tide-Coastal-Boat-Seascape-Canvas-Print-by-Kaleigh-Anderson-36f70b21b17e81e0b7a2c18be2910a67?pvs=21),,Etsy Import — Pending Review,AOA-ART-0013,,resting-tide,,,,,,,,No,,Yes,,,,,
Return to the Marsh,,available,,landscape,"14"" × 11""",No,$399.00,,,,,,,No,,,,,,,No,No,Return to the Marsh – Coastal Marsh Landscape Canvas Print by Kaleigh Anderson (https://app.notion.com/p/Return-to-the-Marsh-Coastal-Marsh-Landscape-Canvas-Print-by-Kaleigh-Anderson-37070b21b17e81cf8013dadfe2657b60?pvs=21),,Etsy Import — Pending Review,AOA-ART-0005,,return-to-the-marsh,,,,,,,,No,,Yes,,,,,
Sea Memory,,available,,square,"6"" × 6""",No,$95.00,,,,,,,No,,,,,,,No,No,Blue Mussel Shell Coastal Canvas Print – Sea Memory by Kaleigh Anderson (https://app.notion.com/p/Blue-Mussel-Shell-Coastal-Canvas-Print-Sea-Memory-by-Kaleigh-Anderson-36f70b21b17e81738bb7d0ad191db23e?pvs=21),,Etsy Import — Pending Review,AOA-ART-0027,,sea-memory,,,,,,,,No,,Yes,,,,,
Shore Memory,,available,,portrait,"8"" × 10""",No,$45.00,,,,,,,No,,,,,,,No,No,Coastal Shell Still Life Canvas Print – Shore Memory by Kaleigh Anderson (https://app.notion.com/p/Coastal-Shell-Still-Life-Canvas-Print-Shore-Memory-by-Kaleigh-Anderson-36f70b21b17e81cf8232c7e90e633e2a?pvs=21),,Etsy Import — Pending Review,AOA-ART-0012,,shore-memory,,,,,,,,No,,Yes,,,,,
Sky Bound Still,,available,,landscape,"20"" × 16""",No,$499.00,,,,,,,No,,,,,,,No,No,,,Etsy Import — Pending Review,AOA-ART-0047,,sky-bound-still,,Oil,,,,,,No,,Yes,,,canvas,,
Sky on Fire,,available,,landscape,"30"" × 24""",No,$699.00,,,,,,,No,,,,,,,No,No,Sky on Fire – Coastal Sunset Canvas Print by Kaleigh Anderson | Luminous Ocean Wall Art (https://app.notion.com/p/Sky-on-Fire-Coastal-Sunset-Canvas-Print-by-Kaleigh-Anderson-Luminous-Ocean-Wall-Art-37070b21b17e8152b144c9b6e2cf1df7?pvs=21),,Etsy Import — Pending Review,AOA-ART-0046,,sky-on-fire,,Oil,,,,,,No,,Yes,,,canvas,,
Spring Whirl,,available,,square,"6"" × 6""",No,$199.00,,,,,,,No,,,,,,,No,No,,,Etsy Import — Pending Review,AOA-ART-0026,,spring-whirl,,,,,,,,No,,Yes,,,,,
"Stay Awhile, August",,available,,square,"8"" × 8""",No,$120.00,,,,,,,No,,,,,,,No,No,"Stay Awhile, August-Plum Light-Oil Painting Canvas Print (https://app.notion.com/p/Stay-Awhile-August-Plum-Light-Oil-Painting-Canvas-Print-36f70b21b17e8130b210ffd42d8abc3f?pvs=21)",,Etsy Import — Pending Review,AOA-ART-0025,,stay-awhile-august,,,,,,,,No,,Yes,,,,,
Still as the Sky,,available,,square,"20"" × 20""",No,$399.00,,,,,,,No,,,,,,,No,No,,,Etsy Import — Pending Review,AOA-ART-0008,,still-as-the-sky,,,,,,,,No,,Yes,,,,,
Stillness in Motion,,available,,landscape,"30"" × 15""",No,$599.00,,,,,,,No,,,,,,,No,No,,,Etsy Import — Pending Review,AOA-ART-0045,,stillness-in-motion,,Oil,,,,,,No,,Yes,,,canvas,,
Stormy Marsh,,available,,landscape,"20"" × 16""",No,$399.00,,,,,,,No,,,,,,,No,No,Stormy Marsh Landscape Canvas Print – Gilded No. 11 by Kaleigh Anderson (https://app.notion.com/p/Stormy-Marsh-Landscape-Canvas-Print-Gilded-No-11-by-Kaleigh-Anderson-36f70b21b17e81b99ce4c9f4d1c8eaee?pvs=21),,Etsy Import — Pending Review,AOA-ART-0051,,stormy-marsh,,Oil,,,,,,No,,Yes,,,canvas,,
Summer at Black Point,,available,,landscape,"20"" × 16""",No,$299.00,,,,,,,No,,,,,,,No,No,Summer at Black Point — Coastal Estate Garden Oil Painting Canvas Print (https://app.notion.com/p/Summer-at-Black-Point-Coastal-Estate-Garden-Oil-Painting-Canvas-Print-37070b21b17e81fdab98f7bcdd643875?pvs=21),,Etsy Import — Pending Review,AOA-ART-0044,,summer-at-black-point,,Oil,,,,,,No,,Yes,,,canvas,,
Sun on Stoneware,,available,,portrait,"8"" × 10""",No,$120.00,,,,,,,No,,,,,,,No,No,Stoneware Pottery Still Life Canvas Print – Sun on Stoneware by Kaleigh Anderson (https://app.notion.com/p/Stoneware-Pottery-Still-Life-Canvas-Print-Sun-on-Stoneware-by-Kaleigh-Anderson-36f70b21b17e8197a080d413899949ce?pvs=21),,Etsy Import — Pending Review,AOA-ART-0041,,sun-on-stoneware,,Oil,,,,,,No,,Yes,,,canvas,,
Sunlit Citrus,,available,,portrait,"10"" × 20""",No,$199.00,,,,,,,No,,,,,,,No,No,,,Etsy Import — Pending Review,AOA-ART-0043,,sunlit-citrus,,Oil,,,,,,No,,Yes,,,canvas,,
The Girl in the Yellow Coat,,available,,portrait,"9"" × 12""",No,$299.00,,,,,,,No,,,,,,,No,No,Red Barn Countryside Canvas Print – The Girl in the Yellow Coat by Kaleigh Anderson (https://app.notion.com/p/Red-Barn-Countryside-Canvas-Print-The-Girl-in-the-Yellow-Coat-by-Kaleigh-Anderson-36f70b21b17e8187949bce7f457e31e8?pvs=21),,Etsy Import — Pending Review,AOA-ART-0042,,the-girl-in-the-yellow-coat,,Oil,,,,,,No,,Yes,,,canvas,,
Tied to the Light,,available,,landscape,"20"" × 16""",No,$399.00,,,,,,,No,,,,,,,No,No,Coastal Docked Boats Canvas Print – Tied to the Light by Kaleigh Anderson (https://app.notion.com/p/Coastal-Docked-Boats-Canvas-Print-Tied-to-the-Light-by-Kaleigh-Anderson-37070b21b17e8163aac8e45e00830bcc?pvs=21),,Etsy Import — Pending Review,AOA-ART-0040,,tied-to-the-light,,Oil,,,,,,No,,Yes,,,canvas,,
Violet Harmony,,available,,landscape,"10"" × 8""",No,$120.00,,,,,,,No,,,,,,,No,No,Lilac Floral Still Life Canvas Print – Violet Harmony by Kaleigh Anderson (https://app.notion.com/p/Lilac-Floral-Still-Life-Canvas-Print-Violet-Harmony-by-Kaleigh-Anderson-37070b21b17e81559522d860fb867acd?pvs=21),,Etsy Import — Pending Review,AOA-ART-0039,,violet-harmony,,Oil,,,,,,No,,Yes,,,canvas,,
Tilled Light,,available,,landscape,"20"" × 16""",No,$499.00,,,,,,,No,,,,,,,No,No,Farm Field Countryside Landscape Canvas Print – Tilled Light by Kaleigh Anderson (https://app.notion.com/p/Farm-Field-Countryside-Landscape-Canvas-Print-Tilled-Light-by-Kaleigh-Anderson-36f70b21b17e81b59c9cd0b0bb116cf6?pvs=21),,Etsy Import — Pending Review,AOA-ART-0038,,tilled-light,,,,,,,,No,,Yes,,,,,
When the Shore Breathes,,available,,landscape,"18"" × 14""",No,$199.00,,,,,,,No,,,,,,,No,No,When the Shore Breathes — Coastal Sunset Ocean Landscape Oil Painting Print (https://app.notion.com/p/When-the-Shore-Breathes-Coastal-Sunset-Ocean-Landscape-Oil-Painting-Print-37070b21b17e819388eee5fb0da43342?pvs=21),,Etsy Import — Pending Review,AOA-ART-0037,,when-the-shore-breathes,,,,,,,,No,,Yes,,,,,
When the Water Remembered the Sky,,available,,landscape,"20"" × 16""",No,$399.00,,,,,,,No,,,,,,,No,No,Sunset Boat Reflection Landscape Canvas Print – When the Water Remembered the Sky (https://app.notion.com/p/Sunset-Boat-Reflection-Landscape-Canvas-Print-When-the-Water-Remembered-the-Sky-37070b21b17e8143bf3ff56a26822057?pvs=21),,Etsy Import — Pending Review,AOA-ART-0036,,when-the-water-remembered-the-sky,,,,,,,,No,,Yes,,,,,
Where Light Rests,,available,,landscape,"18"" × 14""",No,$199.00,,,,,,,No,,,,,,,No,No,Peach Still Life Window Light Canvas Print – Where Light Rests by Kaleigh Anderson (https://app.notion.com/p/Peach-Still-Life-Window-Light-Canvas-Print-Where-Light-Rests-by-Kaleigh-Anderson-37070b21b17e81ec8ff6fa5d28c90001?pvs=21),,Etsy Import — Pending Review,AOA-ART-0035,,where-light-rests,,,,,,,,No,,Yes,,,,,
Where the Air is Salt,,available,,landscape,"20"" × 16""",No,$499.00,,,,,,,No,,,,,,,No,No,Coastal Cottage Ocean Landscape Canvas Print – Where the Air is Salt by Kaleigh Anderson (https://app.notion.com/p/Coastal-Cottage-Ocean-Landscape-Canvas-Print-Where-the-Air-is-Salt-by-Kaleigh-Anderson-37070b21b17e816f974ff6348af9c7c6?pvs=21),,Etsy Import — Pending Review,AOA-ART-0034,,where-the-air-is-salt,,,,,,,,No,,Yes,,,,,
Where the Hydrangeas Bloom,,available,,landscape,"20"" × 16""",No,$199.00,,,,,,,No,,,,,,,No,No,,,Etsy Import — Pending Review,AOA-ART-0033,,where-the-hydrangeas-bloom,,,,,,,,No,,Yes,,,,,
