artwork_id,Title,Slug,Alt_Text,Status,Category,Orientation,Size,Medium,Support,Source,Original_Available,Base_Price,Date_Created,Tags,Mood,Colors,Image,Image_Status,Primary_Use,AI_Ready,Description,Story,Subject,Location,Time_of_Day,Light_Description,AI_Draft_Complete,Human_Approved,Series,Workflow_Status
AOA-ART-0011,Tied to the Morning,tied-to-the-morning,,available,,portrait,"14"" × 18""",,,,No,899.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0012,Shore Memory,shore-memory,,available,,portrait,"8"" × 10""",,,,No,45.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0013,Resting Tide,resting-tide,,available,,portrait,"9"" × 12""",,,,No,199.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0014,Red Roofs of Monhegan,red-roofs-of-monhegan,,available,,portrait,"18"" × 24""",,,,No,399.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0015,Harbor Line,harbor-line,,available,,portrait,"16"" × 20""",,,,No,499.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0016,Midnight Harbor,midnight-harbor,,available,,portrait,"9"" × 12""",,,,No,199.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0017,Hands of the Harbor,hands-of-the-harbor,,available,,portrait,"8"" × 10""",,,,No,299.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0018,Evening Anchor,evening-anchor,,available,,portrait,"16"" × 20""",,,,No,199.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0019,Citrus Radiance,citrus-radiance,,available,,portrait,"16"" × 20""",,,,No,199.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0020,Citrine Silence,citrine-silence,,available,,portrait,"8"" × 10""",,,,No,199.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0021,After the Catch,after-the-catch,,available,,portrait,"12"" × 16""",,,,No,99.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0022,The Sweet Unknowing,the-sweet-unknowing,,available,,square,"12"" × 12""",,,,No,99.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0023,The Mussels Were Perfect,the-mussels-were-perfect,,available,,square,"12"" × 12""",,,,No,299.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0024,The Sea Forgot the Rules,the-sea-forgot-the-rules,,available,,square,"12"" × 12""",,,,No,325.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0025,"Stay Awhile, August",stay-awhile-august,,available,,square,"8"" × 8""",,,,No,120.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0026,Spring Whirl,spring-whirl,,available,,square,"6"" × 6""",,,,No,199.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0027,Sea Memory,sea-memory,,available,,square,"6"" × 6""",,,,No,95.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0028,Open Windows & Lupins,open-windows-lupins,,available,,square,"8"" × 8""",,,,No,99.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0029,Gilded Horizons No. 12 Pastel Drift,gilded-horizons-no-12-pastel-drift,,available,,landscape,"20"" × 16""",,,,No,399.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0030,Gilded Horizons No. 10,gilded-horizons-no-10,,available,,square,"20"" × 20""",,,,No,599.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0031,Avo Love,avo-love,,available,,square,"8"" × 8""",,,,No,150.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0032,Where Time Blooms,where-time-blooms,,available,,portrait,"10"" × 20""",,,,No,399.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0033,Where the Hydrangeas Bloom,where-the-hydrangeas-bloom,,available,,landscape,"20"" × 16""",,,,No,199.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0034,Where the Air is Salt,where-the-air-is-salt,,available,,landscape,"20"" × 16""",,,,No,499.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0035,Where Light Rests,where-light-rests,,available,,landscape,"18"" × 14""",,,,No,199.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0036,When the Water Remembered the Sky,when-the-water-remembered-the-sky,,available,,landscape,"20"" × 16""",,,,No,399.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0037,When the Shore Breathes,when-the-shore-breathes,,available,,landscape,"18"" × 14""",,,,No,199.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0038,Tilled Light,tilled-light,,available,,landscape,"20"" × 16""",,,,No,499.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0039,Violet Harmony,violet-harmony,,available,,landscape,"10"" × 8""",Oil,,canvas,No,120.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0040,Tied to the Light,tied-to-the-light,,available,,landscape,"20"" × 16""",Oil,,canvas,No,399.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0041,Sun on Stoneware,sun-on-stoneware,,available,,portrait,"8"" × 10""",Oil,,canvas,No,120.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0042,The Girl in the Yellow Coat,the-girl-in-the-yellow-coat,,available,,portrait,"9"" × 12""",Oil,,canvas,No,299.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0043,Sunlit Citrus,sunlit-citrus,,available,,portrait,"10"" × 20""",Oil,,canvas,No,199.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0044,Summer at Black Point,summer-at-black-point,,available,,landscape,"20"" × 16""",Oil,,canvas,No,299.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0045,Stillness in Motion,stillness-in-motion,,available,,landscape,"30"" × 15""",Oil,,canvas,No,599.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0046,Sky on Fire,sky-on-fire,,available,,landscape,"30"" × 24""",Oil,,canvas,No,699.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0047,Sky Bound Still,sky-bound-still,,available,,landscape,"20"" × 16""",Oil,,canvas,No,499.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0048,Morning Prayer,morning-prayer,,available,,landscape,"20"" × 16""",Oil,,canvas,No,299.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0049,Island Reverie,island-reverie,,available,,landscape,"20"" × 16""",Oil,,canvas,No,199.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0050,Grace in the Garden,grace-in-the-garden,,available,,portrait,"12"" × 24""",Oil,,canvas,No,299.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0051,Stormy Marsh,stormy-marsh,,available,,landscape,"20"" × 16""",Oil,,canvas,No,399.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0052,Five at Dawn,five-at-dawn,,available,,landscape,"20"" × 10""",Oil,,canvas,No,899.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0053,First Light on Providence,first-light-on-providence,,available,,landscape,"20"" × 16""",Oil,,canvas,No,499.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0054,Echoes from the Irish Castle,echoes-from-the-irish-castle,,available,,landscape,"24"" × 18""",Oil,,canvas,No,399.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0055,At the Edge of Town,at-the-edge-of-town,,available,,landscape,"14"" × 11""",Oil,,canvas,No,99.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0056,Quiet Garden Light,quiet-garden-light,,available,,portrait,"12"" × 16""",Oil,,canvas,No,299.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0057,Cupola Light,cupola-light,,available,,portrait,"9"" × 12""",Oil,,canvas,No,99.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0058,Forsythia Light,forsythia-light,,available,,portrait,"20"" × 26""",Oil,,canvas,No,199.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0059,Golden Note,golden-note,,available,,portrait,"20"" × 26""",Oil,,canvas,No,299.00,,,,,,,,No,,,,,,,No,No,,Etsy Import — Pending Review
AOA-ART-0060,What the Garden Kept,what-the-garden-kept,A terracotta pot filled with pink flowering blooms and layered green foliage rests on a pale cream surface against a deep violet background in a square original oil painting.,approved,Floral / Still Life,square,"8"" × 8""",Oil,Canvas,,yes,199,2026,potted geraniums painting; floral still life original art; terracotta pot wall art; pink flowers painting; garden painting original; potted plant painting; impressionist floral painting; flower pot art; cottage garden painting; pink geraniums art; original oil painting; still life flower painting; garden still life art,Warm; still; intimate; late-day,Deep violet-purple; rose and dusty pink; warm terracotta and amber; yellow-green and deep forest green; cream and golden-warm white,https://drive.google.com/file/d/1vuyKJqnwN9Guw_AnxwTzzhHsindZJfwF/view,Master Image Approved,"Wall art, gift, home accent",Yes,"The background is a deep, settled violet — the kind that arrives when the afternoon starts to cool and the garden gets quiet. Against it, a terracotta pot holds a full cluster of pink blooms, loose and open, painted with the kind of gestural marks that suggest movement without wind. The light comes from low and to the side, warming the pot and the pale surface it rests on into amber and cream. The foliage layers between deep green and yellow-green, visible in quick, honest strokes that don't try to be more than they are. The painting holds one specific moment — the last of the warm before the evening arrives. Original oil painting. 8 × 8 inches. Sold framed and ready to hang. One of a kind.","The pot sat in that last stretch of afternoon light, the kind that comes in low and warm right before the garden goes quiet.","Potted flowering plant — likely geraniums or a similar full-bloom variety — in a terracotta pot with saucer, resting on a pale ledge or surface.",Maine,Late afternoon to early evening,"Directional, warm, low light entering from the lower right. The pot and pale surface catch the warmth as amber and cream. The background is in deep shadow — saturated violet. The foliage reads against both the dark background and the warm light, creating a layered contrast. The light reads as late and specific.",Yes,Yes,,Ready for Products
AOA-ART-0061,Where the Water Waits,where-the-water-waits,A moody marsh landscape painting showing water moving through a tidal marsh with muted sky light.,approved,Landscape / Marsh,portrait,11x14,Oil,Canvas (gallery wrap),Artist intake / image file,yes,249,2026,marsh landscape painting; tidal marsh wall art; coastal landscape painting; original oil painting; marsh water painting; gallery wrap canvas art,"Quiet, muted, reflective",slate blue; blue-gray; lavender-gray; muted blush; creamy white; deep marsh green; charcoal,https://drive.google.com/file/d/1TkYk1Wb5RWIf5E_1aeugY1m2j_k9FQcp/view?usp=drive_link,,Original artwork; wall art; gift,yes,"The water moves quietly through the marsh beneath a broad, layered sky. Pale channels catch the available light and turn through the darker land in long, unhurried curves. Loose brushwork keeps the surface visible, allowing the changing light to carry the atmosphere.",The water held the last pale light in its bends while the marsh settled into deeper green.,Winding water channels through a marsh beneath layered cloud cover,Unknown (artist confirm),Late afternoon - early evening,"Cool, diffuse light filtered through layered cloud cover; pale highlights along water channels and lower cloud edges; muted lavender and blush notes.",yes,yes,,Ready for Products
AOA-ART-0062,Rose Tide,rose-tide,"Rose Tide — original oil painting of a rose-pink and violet evening sky over calm coastal water, dark island silhouettes, and rocky shoreline on the Maine coast, on a 12x12 gallery wrap canvas by Maine artist Kaleigh Anderson.",approved,Coastal Landscape / Seascape,Square,12x12,Oil,Canvas,Artist-provided intake details and uploaded artwork image,yes,399,2026,coastal painting; seascape painting; pink sky painting; Maine coastal art; Maine coast painting; ocean landscape; island painting; sunset seascape; rocky shoreline; violet sky; original oil painting; square canvas; 12x12 painting; gallery wrap original; coastal wall art; evening tide; atmospheric landscape; rose pink seascape,Quiet; Coastal; Atmospheric; Reflective; Softened; Still,Rose pink; Lavender; Violet; Mauve; Blush; Slate blue; Charcoal; Muted black; Warm ochre; Soft gray,https://drive.google.com/file/d/1Y4THgrVFZatlshtNAvb41Jt015fpy_JT/view?usp=drive_web,Master Image Approved,Original artwork; wall art; coastal collection,yes,"Rose light settles across the tide as the shoreline begins to darken. This 12x12 original oil painting holds a quiet Maine coastal evening, with violet clouds, pink reflection, and low island forms stretching across the water. Dark rocks ground the foreground, giving weight to the softness of the sky above. The piece stays close to the edge of day: open water, changing light, and the last color held briefly on the surface.",A quiet Maine tide held in rose and violet light before the shoreline falls into shadow.,Coastal water; island silhouettes; rocky shoreline; rose-pink evening sky,Maine coast,Evening / sunset,Rose-pink and violet evening light diffused through cloud cover and reflected across calm coastal water.,yes,yes,New Art June 2026,Metadata Complete
AOA-ART-0063,Blue Vase & Quiet Light,blue-vase-quiet-light,,available,,landscape,20x16,Oil,Canvas,,no,399,,,,,,,,no,,,,,,,no,no,,Etsy Import ? Pending Review
AOA-ART-0064,Anchored in Wild Bloom,anchored-in-wild-bloom,A weathered red-orange boat rests in tall green grass and Queen Anne's lace in a softly lit field.,available,Landscape,landscape,20x16,,,Owner-confirmed net-new original; artist story; supplied artwork image; Square checkout link supplied by owner,yes,,,weathered boat; field landscape; Queen Anne's lace; wildflowers; tall grass; original painting; boat painting; landscape painting,quiet; reflective; nostalgic; weathered; contemplative,rust red; warm orange; olive green; yellow-green; muted gray-blue; soft white,,Image Received,Original artwork; wall art,yes,"A weathered red-orange boat rests quietly in a field, surrounded by tall grass and Queen Anne's lace. The painting holds the contrast between a vessel shaped by years on the water and the landscape slowly growing around it, finding beauty in what has been weathered, well-loved, and left behind.","An old boat rests among tall grass and Queen Anne's lace, still carrying the suggestion of every place it once traveled.",Weathered old boat resting in a field with tall grass and Queen Anne's lace,,,"Soft, diffuse daylight across the field and weathered boat.",yes,yes,31 Days of Paintings,Metadata Complete
